case_id	Cluster
M100T	A
M101T	A
M103T	A
M105T	A
M106T	C
M110T	A
M114T	A
M117T	A
M125T	A
M126T	A
M127T	A
M128T	A
M129T	B
M132T	C
M133T	A
M135T	A
M137T	A
M139T	C
M140T	A
M142T	C
M146T	B
M147T	B
M148T	A
M149T	D
M150T	A
M151T	A
M152T	A
M153T	B
M154T	C
M156T	D
M158T	C
M159T	A
M160T	A
M161T	C
M162T	A
M164T	A
M166T	A
M167T	A
M190T	A
M201T	A
M203T	C
M204T	A
M206T	A
M212T	A
M213T	A
M214T	D
M215T	A
M32T	B
M55T	A
M95T	A
M99T	C
SL102T	A
SL103T	A
SL107T	A
SL109T	B
SL110T	A
SL111T	A
SL114T1	C
SL115T	A
SL118T	C
SL169T	A
SL170T	A
SL172T	B
SL173T	A
SL174T	A
SL176T	A
SL177T	A
SL179T	A
SL180T	A
SL184T	A
SL186T	A
SL188T	C
SL189T	A
SL190T	A
SL191T	A
SL79T	A
SL89T	A
SL92T	B
SL93T	A
SL95T	A
SL96T	A
